function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
tf_sparse_matmul_func4, 1000, 1000, 0.01, ratio_based, 0.0564050674438, , , , , , , , , , , , , , , , , -1, 0.0153369903564, 0, 168000
tf_sparse_matmul_func4, 1000, 1000, 0.02, ratio_based, 0.1148250103, , , , , , , , , , , , , , , , , -1, 0.0185108184814, 0, 328000
tf_sparse_matmul_func4, 1000, 1000, 0.03, ratio_based, 0.177345991135, , , , , , , , , , , , , , , , , -1, 0.0212759971619, 0, 488000
tf_sparse_matmul_func4, 1000, 1000, 0.04, ratio_based, 0.233984947205, , , , , , , , , , , , , , , , , -1, 0.0260119438171, 0, 648000
tf_sparse_matmul_func4, 1000, 1000, 0.05, ratio_based, 0.301376819611, , , , , , , , , , , , , , , , , -1, 0.0284841060638, 0, 808000
tf_sparse_matmul_func4, 1000, 1000, 0.06, ratio_based, 0.383332014084, , , , , , , , , , , , , , , , , -1, 0.0312919616699, 0, 968000
tf_sparse_matmul_func4, 1000, 1000, 0.07, ratio_based, 0.431202888489, , , , , , , , , , , , , , , , , -1, 0.0346040725708, 0, 1128000
split_func2, 1000, 1000, 0.01, ratio_based, 0.0560719966888, 0.0, 0.0562648773193, 1.4280359745, 5.05451393127, 0.130442857742, 0.0, 0.0, 0.0, 0.0112931728363, 0.0493350028992, 0.00531411170959, 0.0, 0.0, 53.4374477863, 0.0368051528931, 0.0302720069885, 1, 0.023029088974, 0.0652461051941, 132016
split_func2, 1000, 1000, 0.02, ratio_based, 0.112347126007, 0.0, 0.0517039299011, 2.74857997894, 9.12567710876, 0.132499933243, 0.0, 0.0, 0.0, 0.0110960006714, 0.0451219081879, 0.00505304336548, 0.0, 0.0, 53.3888540268, 0.037850856781, 0.0433559417725, 1, 0.0317749977112, 0.0655250549316, 252016
split_func2, 1000, 1000, 0.03, ratio_based, 0.172027111053, 0.0, 0.059189081192, 3.81182599068, 13.2681269646, 0.131139039993, 0.0, 0.0, 0.0, 0.0114629268646, 0.043576002121, 0.0055570602417, 0.0, 0.0, 53.5107851028, 0.0357899665833, 0.0524749755859, 1, 0.0407857894897, 0.0655410289764, 372016
