function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
split_func2, 700, 700, 0.06, ratio_based, 0.174409866333, 0.0, 0.0664520263672, 3.39177083969, 12.6391692162, 0.0936527252197, 0.0, 0.0, 0.0, 0.0101079940796, 0.0429668426514, 0.00494909286499, 0.0, 0.0, 52.8623838425, 0.0348839759827, 0.0488977432251, 1, 0.0394060611725, 0.0648159980774, 361216
split_func2, 800, 800, 0.06, ratio_based, 0.220193862915, 0.0, 0.0552778244019, 4.62796068192, 16.3557858467, 0.105477809906, 0.0, 0.0, 0.0, 0.0104560852051, 0.0434560775757, 0.00525903701782, 0.0, 0.0, 53.2502961159, 0.036810874939, 0.0745749473572, 1, 0.0464990139008, 0.0652530193329, 470416
split_func2, 900, 900, 0.06, ratio_based, 0.275296926498, 0.0, 0.0572981834412, 5.70988082886, 20.7941679955, 0.117188930511, 0.0, 0.0, 0.0, 0.0118131637573, 0.0580339431763, 0.00570917129517, 0.0, 0.0, 54.7415785789, 0.0402007102966, 0.0717258453369, 1, 0.0562319755554, 0.0669429302216, 594016
split_func2, 1000, 1000, 0.06, ratio_based, 0.379683017731, 0.0, 0.0978598594666, 6.91541385651, 25.9138007164, 0.131865978241, 0.0, 0.0, 0.0, 0.0121421813965, 0.0416769981384, 0.00523281097412, 0.0, 0.0, 53.4708280563, 0.0376052856445, 0.0830969810486, 1, 0.0684640407562, 0.065612077713, 732016
split_func2, 1200, 1200, 0.06, ratio_based, 0.515767812729, 0.0, 0.0661458969116, 10.1389989853, 37.4331417084, 0.154668807983, 0.0, 0.0, 0.0, 0.0128679275513, 0.0432748794556, 0.00540781021118, 0.0, 0.0, 54.2436265945, 0.0451602935791, 0.114789962769, 1, 0.0883021354675, 0.0667500495911, 1051216
split_func2, 1400, 1400, 0.06, ratio_based, 0.709711074829, 0.0, 0.0561060905457, 13.4836931229, 51.4620299339, 0.178597927094, 0.0, 0.0, 0.0, 0.0118093490601, 0.0429611206055, 0.00562191009521, 0.0, 0.0, 53.5446500778, 0.0397710800171, 0.146960258484, 1, 0.115243911743, 0.0660400390625, 1428016
split_func2, 1600, 1600, 0.06, ratio_based, 0.945098876953, 0.0, 0.0562791824341, 18.4432077408, 67.2549262047, 0.204516887665, 0.0, 0.0, 0.0, 0.0116744041443, 0.0431361198425, 0.00532007217407, 0.0, 0.0, 53.4427771568, 0.0368719100952, 0.187868118286, 1, 0.152774095535, 0.0661430358887, 1862416
split_func2, 1800, 1800, 0.06, ratio_based, 1.210064888, 0.0, 0.0572237968445, 22.5261011124, 85.4150390625, 0.229104995728, 0.0, 0.0, 0.0, 0.010790348053, 0.0603017807007, 0.00608777999878, 0.0, 0.0, 54.4121689796, 0.0449032783508, 0.236596107483, 1, 0.183760166168, 0.0672488212585, 2354416
split_func2, 2000, 2000, 0.06, ratio_based, 1.44538187981, 0.0, 0.0569539070129, 27.0824847221, 107.21787262, 0.258004188538, 0.0, 0.0, 0.0, 0.0120072364807, 0.0592241287231, 0.0054931640625, 0.0, 0.0, 53.4755511284, 0.0374908447266, 0.303196907043, 1, 0.224776029587, 0.0664570331573, 2904016
split_func2, 2400, 2400, 0.06, ratio_based, 2.03258419037, 0.0, 0.0572900772095, 39.6249437332, 155.079917908, 0.323635101318, 0.0, 0.0, 0.0, 0.0111212730408, 0.0428423881531, 0.00556898117065, 0.0, 0.0, 53.6470861435, 0.0333952903748, 0.403280735016, 1, 0.320915937424, 0.066586971283, 4176016
split_func2, 2800, 2800, 0.06, ratio_based, 2.95275187492, 0.0, 0.0565991401672, 52.4274201393, 215.550079346, 0.364773273468, 0.0, 0.0, 0.0, 0.0127458572388, 0.0444440841675, 0.00581502914429, 0.0, 0.0, 55.8008270264, 0.03431224823, 0.544926643372, 1, 0.447088003159, 0.0690221786499, 5678416
split_func2, 3200, 3200, 0.06, ratio_based, 3.77596712112, 0.0, 0.0574259757996, 70.5572290421, 282.787487984, 0.431339263916, 0.0, 0.0, 0.0, 0.0150709152222, 0.0422358512878, 0.00532817840576, 0.0, 0.0, 54.7220902443, 0.0411911010742, 0.709108829498, 1, 0.577636003494, 0.0680179595947, 7411216
split_func2, 3600, 3600, 0.06, ratio_based, 4.48841881752, 0.0, 0.0583729743958, 87.2527351379, 361.882450104, 0.489953994751, 0.0, 0.0, 0.0, 0.0121550559998, 0.0423059463501, 0.00502300262451, 0.0, 0.0, 55.7657899857, 0.0447721481323, 0.883800983429, 1, 0.714977025986, 0.0695140361786, 9374416
split_func2, 4000, 4000, 0.06, ratio_based, 5.99900197983, 0.0, 0.0559487342834, 106.19134903, 450.952646732, 0.530368804932, 0.0, 0.0, 0.0, 0.0131759643555, 0.0574288368225, 0.0055890083313, 0.0, 0.0, 55.7493262291, 0.0424990653992, 1.08531808853, 1, 0.912170886993, 0.0695290565491, 11568016
split_func2, 4800, 4800, 0.06, ratio_based, 8.34197092056, 0.0, 0.0557270050049, 155.886092186, 674.551114082, 0.650507926941, 0.0, 0.0, 0.0, 0.0116300582886, 0.0426487922668, 0.00545167922974, 0.0, 0.0, 56.539659977, 0.039852142334, 1.60076284409, 1, 1.28684520721, 0.0708138942719, 16646416
split_func2, 5600, 5600, 0.06, ratio_based, 11.5980360508, 0.0, 0.0576920509338, 207.050439358, 925.693421841, 0.779493808746, 0.0, 0.0, 0.0, 0.0133156776428, 0.0419721603394, 0.00494813919067, 0.0, 0.0, 58.2383079529, 0.0418419837952, 2.17422199249, 1, 1.81669783592, 0.0733230113983, 22646416
split_func2, 6400, 6400, 0.06, ratio_based, 14.2138240337, 0.0, 0.058454990387, 278.895178318, 1229.10270786, 0.879279136658, 0.0, 0.0, 0.0, 0.0113091468811, 0.0452308654785, 0.00545310974121, 0.0, 0.0, 58.5096979141, 0.0396137237549, 2.86149024963, 1, 2.31306600571, 0.0742559432983, 29568016
split_func2, 7200, 7000, 0.06, ratio_based, 18.5284450054, 0.0, 0.0611429214478, 336.925348282, 1520.55131292, 0.953670978546, 0.0, 0.0, 0.0, 0.0137600898743, 0.0421051979065, 0.00553417205811, 0.0, 0.0, 60.5366172791, 0.0424761772156, 3.50032997131, 1, 2.84248709679, 0.0769817829132, 36372816
split_func2, 8000, 8000, 0.06, ratio_based, 23.8846750259, 0.0, 0.059916973114, 420.40303421, 1957.10123873, 1.12930727005, 0.0, 0.0, 0.0, 0.0145840644836, 0.0533180236816, 0.00554418563843, 0.0, 0.0, 61.2058792114, 0.0386929512024, 4.99475288391, 1, 3.63197207451, 0.0787310600281, 46176016
split_func2, 8800, 8800, 0.06, ratio_based, 28.3134720325, 0.0, 0.0575661659241, 531.257777214, 2396.48234129, 1.23048019409, 0.0, 0.0, 0.0, 0.0136971473694, 0.0432920455933, 0.00603103637695, 0.0, 0.0, 65.1012511253, 0.0446000099182, 5.84434890747, 1, 4.53466010094, 0.0837600231171, 55862416
split_func2, 9600, 9600, 0.06, ratio_based, 33.6592330933, 0.0, 0.0580978393555, 620.71766901, 2882.61836338, 1.33030796051, 0.0, 0.0, 0.0, 0.01478099823, 0.0431690216064, 0.00548505783081, 0.0, 0.0, 68.0711698532, 0.0447940826416, 7.45407104492, 1, 5.30566310883, 0.0885968208313, 66470416
split_func2, 10400, 10400, 0.06, ratio_based, 38.2921061516, 0.0, 0.0689959526062, 720.848880768, 3394.00705099, 1.52389001846, 0.0, 0.0, 0.0, 0.0128622055054, 0.0429940223694, 0.00550222396851, 0.0, 0.0, 70.6633739471, 0.0430808067322, 8.66823387146, 1, 6.23783302307, 0.0923719406128, 78000016
split_func2, 11200, 11200, 0.06, ratio_based, 46.5184760094, 0.0, 0.0573892593384, 825.696201801, 3962.64927006, 1.60733318329, 0.0, 0.0, 0.0, 0.0134449005127, 0.0419502258301, 0.00543022155762, 0.0, 0.0, 75.6465768814, 0.045108795166, 10.2110381126, 1, 7.23492789268, 0.0989980697632, 90451216
split_func2, 12000, 12000, 0.06, ratio_based, 51.0509028435, 0.0, 0.0572638511658, 996.728940964, 4601.8920393, 1.78183984756, 0.0, 0.0, 0.0, 0.0128307342529, 0.0443921089172, 0.00534677505493, 0.0, 0.0, 79.4577102661, 0.0613946914673, 11.8729310036, 1, 8.55862498283, 0.104110002518, 103824016
split_func2, 12800, 12800, 0.06, ratio_based, 58.5737080574, 0.0, 0.0576543807983, 1118.20327997, 5262.23902225, 1.89769124985, 0.0, 0.0, 0.0, 0.0121722221375, 0.0444951057434, 0.00553464889526, 0.0, 0.0, 83.7716932297, 0.0462894439697, 13.7709822655, 1, 9.68650197983, 0.110700845718, 118118416
split_func2, 13600, 13600, 0.06, ratio_based, 64.07863307, 0.0, 0.0541930198669, 1248.14606285, 5959.83629608, 2.03300714493, 0.0, 0.0, 0.0, 0.011351108551, 0.0508260726929, 0.00564908981323, 0.0, 0.0, 88.783203125, 0.0430588722229, 15.8298602104, 1, 10.8057057858, 0.117524147034, 133334416
split_func2, 14400, 14400, 0.06, ratio_based, 72.7527520657, 0.0, 0.0562782287598, 1387.63919878, 6703.4423399, 2.15958499908, 0.0, 0.0, 0.0, 0.0119371414185, 0.042809009552, 0.00541019439697, 0.0, 0.0, 96.2524132729, 0.049220085144, 18.4224867821, 1, 12.3754739761, 0.127972126007, 149472016
split_func2, 15200, 15200, 0.06, ratio_based, 80.790749073, 0.0, 0.0558042526245, 1530.20254421, 7505.84023905, 2.3107008934, 0.0, 0.0, 0.0, 0.0128622055054, 0.0516681671143, 0.00546216964722, 0.0, 0.0, 98.7419958115, 0.0441718101501, 20.2167563438, 1, 13.7723109722, 0.131791114807, 166531216
