function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
numpy_matmul_func, 500, 500, 0.5, n_per_line, 0.014631986618, , , , , , , , , 0.000286102294922, 
numpy_matmul_func, 500, 500, 0.75, ratio_based, 0.00611090660095, , , , , , , , , 0.000296115875244, 
numpy_matmul_func, 500, 500, 0.75, n_per_line, 0.0143139362335, , , , , , , , , 0.000287055969238, 
numpy_matmul_func, 500, 500, 1.0, ratio_based, 0.00502300262451, , , , , , , , , 0.000283002853394, 
numpy_matmul_func, 500, 500, 1.0, n_per_line, 0.0125870704651, , , , , , , , , 0.000287055969238, 
numpy_matmul_func, 1000, 1000, 0.01, ratio_based, 0.0176410675049, , , , , , , , , 0.00102615356445, 
numpy_matmul_func, 1000, 1000, 0.01, n_per_line, 0.036856174469, , , , , , , , , 0.00104093551636, 
numpy_matmul_func, 1000, 1000, 0.03, ratio_based, 0.0181119441986, , , , , , , , , 0.00104308128357, 
numpy_matmul_func, 1000, 1000, 0.03, n_per_line, 0.0375850200653, , , , , , , , , 0.00105595588684, 
numpy_matmul_func, 1000, 1000, 0.05, ratio_based, 0.0183081626892, , , , , , , , , 0.00102496147156, 
numpy_matmul_func, 1000, 1000, 0.05, n_per_line, 0.0381081104279, , , , , , , , , 0.00106906890869, 
numpy_matmul_func, 1000, 1000, 0.1, ratio_based, 0.0189888477325, , , , , , , , , 0.00102496147156, 
numpy_matmul_func, 1000, 1000, 0.1, n_per_line, 0.0388181209564, , , , , , , , , 0.0010678768158, 
numpy_matmul_func, 1000, 1000, 0.15, ratio_based, 0.0197999477386, , , , , , , , , 0.00102806091309, 
numpy_matmul_func, 1000, 1000, 0.15, n_per_line, 0.0396480560303, , , , , , , , , 0.00104308128357, 
numpy_matmul_func, 1000, 1000, 0.2, ratio_based, 0.0201580524445, , , , , , , , , 0.00102806091309, 
numpy_matmul_func, 1000, 1000, 0.2, n_per_line, 0.0402660369873, , , , , , , , , 0.00103998184204, 
numpy_matmul_func, 1000, 1000, 0.3, ratio_based, 0.0211629867554, , , , , , , , , 0.00102996826172, 
numpy_matmul_func, 1000, 1000, 0.3, n_per_line, 0.0410900115967, , , , , , , , , 0.00104713439941, 
numpy_matmul_func, 1000, 1000, 0.5, ratio_based, 0.0224268436432, , , , , , , , , 0.00102615356445, 
numpy_matmul_func, 1000, 1000, 0.5, n_per_line, 0.0417451858521, , , , , , , , , 0.0010449886322, 
numpy_matmul_func, 1000, 1000, 0.75, ratio_based, 0.0204420089722, , , , , , , , , 0.00102806091309, 
numpy_matmul_func, 1000, 1000, 0.75, n_per_line, 0.0401480197906, , , , , , , , , 0.00104594230652, 
numpy_matmul_func, 1000, 1000, 1.0, ratio_based, 0.0162830352783, , , , , , , , , 0.00104212760925, 
numpy_matmul_func, 1000, 1000, 1.0, n_per_line, 0.0344400405884, , , , , , , , , 0.00105285644531, 
numpy_matmul_func, 2000, 2000, 0.01, ratio_based, 0.0689849853516, , , , , , , , , 0.00433015823364, 
numpy_matmul_func, 2000, 2000, 0.01, n_per_line, 0.119364976883, , , , , , , , , 0.00431704521179, 
numpy_matmul_func, 2000, 2000, 0.03, ratio_based, 0.0703649520874, , , , , , , , , 0.00434112548828, 
numpy_matmul_func, 2000, 2000, 0.03, n_per_line, 0.122514009476, , , , , , , , , 0.00432682037354, 
numpy_matmul_func, 2000, 2000, 0.05, ratio_based, 0.071720123291, , , , , , , , , 0.00432896614075, 
numpy_matmul_func, 2000, 2000, 0.05, n_per_line, 0.122932195663, , , , , , , , , 0.00435280799866, 
numpy_matmul_func, 2000, 2000, 0.1, ratio_based, 0.0745420455933, , , , , , , , , 0.00430989265442, 
numpy_matmul_func, 2000, 2000, 0.1, n_per_line, 0.126661062241, , , , , , , , , 0.00436592102051, 
numpy_matmul_func, 2000, 2000, 0.15, ratio_based, 0.0769059658051, , , , , , , , , 0.00432300567627, 
numpy_matmul_func, 2000, 2000, 0.15, n_per_line, 0.127924919128, , , , , , , , , 0.00430488586426, 
numpy_matmul_func, 2000, 2000, 0.2, ratio_based, 0.0792260169983, , , , , , , , , 0.00431704521179, 
numpy_matmul_func, 2000, 2000, 0.2, n_per_line, 0.130704879761, , , , , , , , , 0.00434803962708, 
numpy_matmul_func, 2000, 2000, 0.3, ratio_based, 0.0832359790802, , , , , , , , , 0.00433707237244, 
numpy_matmul_func, 2000, 2000, 0.3, n_per_line, 0.134558916092, , , , , , , , , 0.00433993339539, 
numpy_matmul_func, 2000, 2000, 0.5, ratio_based, 0.0874230861664, , , , , , , , , 0.00431704521179, 
numpy_matmul_func, 2000, 2000, 0.5, n_per_line, 0.139647960663, , , , , , , , , 0.00438404083252, 
numpy_matmul_func, 2000, 2000, 0.75, ratio_based, 0.0803790092468, , , , , , , , , 0.00435400009155, 
numpy_matmul_func, 2000, 2000, 0.75, n_per_line, 0.131431102753, , , , , , , , , 0.00432205200195, 
numpy_matmul_func, 2000, 2000, 1.0, ratio_based, 0.0625569820404, , , , , , , , , 0.00432109832764, 
numpy_matmul_func, 2000, 2000, 1.0, n_per_line, 0.111623048782, , , , , , , , , 0.00434803962708, 
my_matmul_func, 50, 50, 0.01, ratio_based, 0.000174999237061, , , , , , , , , 0.0603220462799, 
my_matmul_func, 50, 50, 0.01, n_per_line, 0.000774145126343, , , , , , , , , 0.0617029666901, 
my_matmul_func, 50, 50, 0.03, ratio_based, 0.000173807144165, , , , , , , , , 0.060868024826, 
my_matmul_func, 50, 50, 0.03, n_per_line, 0.000816822052002, , , , , , , , , 0.0611720085144, 
my_matmul_func, 50, 50, 0.05, ratio_based, 0.000176906585693, , , , , , , , , 0.060898065567, 
my_matmul_func, 50, 50, 0.05, n_per_line, 0.000798940658569, , , , , , , , , 0.0602931976318, 
my_matmul_func, 50, 50, 0.1, ratio_based, 0.00018310546875, , , , , , , , , 0.0607850551605, 
my_matmul_func, 50, 50, 0.1, n_per_line, 0.000816106796265, , , , , , , , , 0.0612590312958, 
my_matmul_func, 50, 50, 0.15, ratio_based, 0.000205993652344, , , , , , , , , 0.0613129138947, 
my_matmul_func, 50, 50, 0.15, n_per_line, 0.000823020935059, , , , , , , , , 0.060898065567, 
my_matmul_func, 50, 50, 0.2, ratio_based, 0.000189065933228, , , , , , , , , 0.0642139911652, 
my_matmul_func, 50, 50, 0.2, n_per_line, 0.000805854797363, , , , , , , , , 0.060399055481, 
my_matmul_func, 50, 50, 0.3, ratio_based, 0.000187158584595, , , , , , , , , 0.061919927597, 
my_matmul_func, 50, 50, 0.3, n_per_line, 0.000802040100098, , , , , , , , , 0.0609250068665, 
my_matmul_func, 50, 50, 0.5, ratio_based, 0.000187873840332, , , , , , , , , 0.0618450641632, 
