function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
tf_sparse_matmul_func4, 2000, 2000, 0.03, ratio_based, 0.728502988815, , , , , , , , , 0.0513570308685
tf_sparse_matmul_func4, 2000, 2000, 0.04, ratio_based, 0.935870885849, , , , , , , , , 0.0646839141846
tf_sparse_matmul_func4, 2000, 2000, 0.05, ratio_based, 1.21757411957, , , , , , , , , 0.0844609737396
tf_sparse_matmul_func4, 2000, 2000, 0.06, ratio_based, 1.43791985512, , , , , , , , , 0.101311922073
tf_sparse_matmul_func4, 2000, 2000, 0.07, ratio_based, 1.68340110779, , , , , , , , , 0.110194921494
tf_sparse_matmul_func4, 4000, 4000, 0.01, ratio_based, 0.942024946213, , , , , , , , , 0.0655360221863
tf_sparse_matmul_func4, 4000, 4000, 0.02, ratio_based, 1.8521361351, , , , , , , , , 0.117687940598
tf_sparse_matmul_func4, 4000, 4000, 0.03, ratio_based, 2.67707705498, , , , , , , , , 0.171173095703
tf_sparse_matmul_func4, 4000, 4000, 0.04, ratio_based, 3.56892991066, , , , , , , , , 0.233628034592
tf_sparse_matmul_func4, 4000, 4000, 0.05, ratio_based, 4.83064293861, , , , , , , , , 0.275542974472
tf_sparse_matmul_func4, 4000, 4000, 0.06, ratio_based, 6.04992008209, , , , , , , , , 0.344101905823
tf_sparse_matmul_func4, 4000, 4000, 0.07, ratio_based, 6.53974509239, , , , , , , , , 0.380640983582
varmatmul_sparse_func2, 500, 500, 0.01, ratio_based, 0.0156519412994, 0.441124916077, 0.0437581539154, 0.349703073502, 1.43680500984, 0.068263053894, 54.0788328648, 0.045273065567, 0.0175831317902, 0.0705020427704
varmatmul_sparse_func2, 500, 500, 0.02, ratio_based, 0.0299279689789, 0.445661067963, 0.0422930717468, 0.650449991226, 2.47579693794, 0.0698010921478, 53.6949179173, 0.0436949729919, 0.0194690227509, 0.0726509094238
varmatmul_sparse_func2, 500, 500, 0.03, ratio_based, 0.0446398258209, 0.443673849106, 0.0437891483307, 0.897538900375, 3.48661708832, 0.0694348812103, 52.7965950966, 0.0437679290771, 0.0226809978485, 0.0741920471191
varmatmul_sparse_func2, 500, 500, 0.04, ratio_based, 0.0601367950439, 0.436586856842, 0.044126033783, 1.23059201241, 4.4774107933, 0.072016954422, 52.6548540592, 0.0413730144501, 0.0237979888916, 0.0747961997986
varmatmul_sparse_func2, 500, 500, 0.05, ratio_based, 0.0717158317566, 0.462161064148, 0.0564432144165, 1.48808097839, 5.46012377739, 0.0701739788055, 52.3705480099, 0.0385730266571, 0.0309460163116, 0.077152967453
varmatmul_sparse_func2, 500, 500, 0.06, ratio_based, 0.089439868927, 0.443012952805, 0.043576002121, 1.76185297966, 6.45444488525, 0.0702068805695, 52.850741148, 0.0429239273071, 0.0332250595093, 0.0799121856689
varmatmul_sparse_func2, 500, 500, 0.07, ratio_based, 0.105000972748, 0.440411090851, 0.0437469482422, 2.14353704453, 7.51982498169, 0.0732867717743, 53.0859260559, 0.0438749790192, 0.0357129573822, 0.0826079845428
