function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
split_func2, 4000, 4000, 0.02, ratio_based, 1.72824192047, 0.0, 0.0781888961792, 41.8969979286, 146.463974953, 0.521827936172, 0.0, 0.0, 0.0, 0.011440038681, 0.0946519374847, 0.00570893287659, 0.0, 0.0, 55.173293829, 0.0402019023895, 0.385490179062, 1, 0.311952114105, 0.0678808689117, 3888016
split_func2, 4000, 4000, 0.03, ratio_based, 2.94943499565, 0.0, 0.0758581161499, 59.813295126, 220.774581909, 0.520954847336, 0.0, 0.0, 0.0, 0.012050151825, 0.0429029464722, 0.00541806221008, 0.0, 0.0, 55.4283630848, 0.0374999046326, 0.568248033524, 1, 0.465773105621, 0.0686390399933, 5808016
split_func2, 4000, 4000, 0.04, ratio_based, 3.87526106834, 0.0, 0.0535171031952, 81.2054929733, 295.26792717, 0.544680833817, 0.0, 0.0, 0.0, 0.0123097896576, 0.04558801651, 0.00566387176514, 0.0, 0.0, 56.6619160175, 0.0440969467163, 0.759435176849, 1, 0.609123945236, 0.0700769424438, 7728016
split_func2, 4000, 4000, 0.05, ratio_based, 4.98849511147, 0.0, 0.0784549713135, 100.398411036, 372.272047997, 0.533779859543, 0.0, 0.0, 0.0, 0.0134429931641, 0.0426309108734, 0.00516414642334, 0.0, 0.0, 55.9269530773, 0.0361678600311, 0.912651062012, 1, 0.746343851089, 0.0694901943207, 9648016
split_func2, 4000, 4000, 0.06, ratio_based, 5.45125889778, 0.0, 0.0537848472595, 118.531413078, 448.98084712, 0.542613983154, 0.0, 0.0, 0.0, 0.0119779109955, 0.0515768527985, 0.00567317008972, 0.0, 0.0, 56.6211512089, 0.0426530838013, 1.09996008873, 1, 0.890365123749, 0.0700359344482, 11568016
split_func2, 4000, 4000, 0.07, ratio_based, 6.5346660614, 0.0, 0.0522758960724, 143.967579126, 536.831004858, 0.562372922897, 0.0, 0.0, 0.0, 0.0121309757233, 0.0439319610596, 0.00566506385803, 0.0, 0.0, 56.122027874, 0.0364429950714, 1.28638195992, 1, 1.0541241169, 0.0701148509979, 13488016
tf_sparse_matmul_func5, 10000, 10000, 0.01, ratio_based, 5.6390941143, , , , , , , , , , , , , , , , , -1, 0.32071685791, 0.0256571769714, 16080000
tf_sparse_matmul_func5, 10000, 10000, 0.02, ratio_based, 11.2828941345, , , , , , , , , , , , , , , , , -1, 0.63249206543, 0.0456387996674, 32080000
tf_sparse_matmul_func5, 10000, 10000, 0.03, ratio_based, 16.4045901299, , , , , , , , , , , , , , , , , -1, 0.992500066757, 0.0545558929443, 48080000
tf_sparse_matmul_func5, 10000, 10000, 0.04, ratio_based, 24.6132769585, , , , , , , , , , , , , , , , , -1, 1.25235891342, 0.0801770687103, 64080000
