function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
0, 100, 100, 0.01, ratio_based, 0.000258922576904, , , , , , , , , 3.91006469727e-05, 
0, 100, 100, 0.05, ratio_based, 0.000197887420654, , , , , , , , , 2.09808349609e-05, 
1, 100, 100, 0.01, ratio_based, 0.000158071517944, , , , , , , , , 0.00780892372131, 
1, 100, 100, 0.05, ratio_based, 0.000172138214111, , , , , , , , , 0.00563597679138, 
2, 100, 100, 0.01, ratio_based, 0.000164985656738, , , , , , , , , 0.0595800876617, 
2, 100, 100, 0.05, ratio_based, 0.000219106674194, , , , , , , , , 0.0612390041351, 
3, 100, 100, 0.01, ratio_based, 0.000218868255615, 0.006199, 0.040188, 0.076347, 0.265717, 0.02197, 52.0146, 0.0325279, 0.0168569, 0.0628671646118, 
3, 100, 100, 0.05, ratio_based, 0.000213146209717, 0.003582, 0.039418, 0.075426, 0.261564, 0.022027, 52.1541, 0.0307599, 0.0167811, 0.0641820430756, 
